Date,BTC_dir,logit_pr,xg_bit_pr,xg_bit_c_pr,rf_pr
2021-03-31,1.0,0.5783880569316746,0.007860343903303146,0.07387685030698776,0.6
2021-04-01,1.0,0.577466178332676,0.7125829458236694,0.42142370343208313,0.26
2021-04-05,0.0,0.5782394397662383,0.23803521692752838,0.08069761097431183,0.16
2021-04-06,0.0,0.6755670437367984,0.6090185046195984,0.9624411463737488,0.68
2021-04-07,0.0,0.6440785116459838,0.44853463768959045,0.2390453815460205,0.9
2021-04-08,1.0,0.6233866572665386,0.9518303871154785,0.9954234957695007,0.52
2021-04-09,0.0,0.5868301233055079,1.0,0.9615078568458557,0.94
2021-04-12,1.0,0.6203495725598952,0.9074209928512573,0.3291543126106262,1.0
2021-04-13,1.0,0.5553902134931664,0.5747592449188232,0.673998236656189,0.02
2021-04-14,0.0,0.5563303661985294,0.45618948340415955,0.8444791436195374,0.24
2021-04-15,1.0,0.6287197080597748,0.378801167011261,0.38727080821990967,0.14
2021-04-16,0.0,0.5235395504493465,0.4997163414955139,0.050870828330516815,0.26
2021-04-19,0.0,0.6364414309686311,1.0,0.9965044260025024,0.2
2021-04-20,1.0,0.617927254261766,0.4152865409851074,0.5206505656242371,0.7
2021-04-21,0.0,0.475528308938592,0.0,0.016213402152061462,0.34
2021-04-22,0.0,0.6215941923618897,0.6476160883903503,0.8668689727783203,0.22
2021-04-23,0.0,0.6050416144618701,0.6468373537063599,0.4787276089191437,0.96
2021-04-26,1.0,0.6067637855011702,0.5028815865516663,0.6174433827400208,0.16
2021-04-27,1.0,0.4605163702104677,0.6592362523078918,0.9130816459655762,0.04
2021-04-28,0.0,0.4618834936087733,0.769014298915863,0.37452059984207153,0.4
2021-04-29,0.0,0.6038793067351536,0.12814588844776154,0.04470766335725784,1.0
2021-04-30,1.0,0.6056057827697992,0.9896292090415955,0.8614268898963928,0.8
2021-05-03,0.0,0.46674952581836804,0.10308247804641724,0.05038394778966904,0.5
2021-05-04,0.0,0.6440780687359742,0.5052611827850342,0.07871335744857788,0.66
2021-05-05,1.0,0.625184197269516,0.1629025638103485,0.16611334681510925,0.12
2021-05-06,0.0,0.4631354342807136,0.5955184698104858,0.12781448662281036,0.16
2021-05-07,1.0,0.6227824154996286,0.9228132963180542,0.9849438071250916,0.76
2021-05-10,0.0,0.4680399274233864,1.0,0.9922735095024109,0.04
2021-05-11,1.0,0.6154845815118676,0.4435156583786011,0.6589584350585938,0.02
2021-05-12,0.0,0.4407204659109282,0.3532778024673462,0.17990687489509583,0.0
2021-05-13,1.0,0.6352634914515105,0.8379140496253967,0.6522285342216492,0.96
2021-05-14,1.0,0.44407155434642215,0.4193359613418579,0.5800236463546753,0.22
2021-05-17,0.0,0.43734011393840905,0.0,0.019743675366044044,0.04
2021-05-18,0.0,0.6431921794295402,0.6617893576622009,0.9677033424377441,0.86
2021-05-19,0.0,0.602652933195487,0.0,0.01688452437520027,0.92
2021-05-20,1.0,0.5979223748034982,0.19665563106536865,0.8536527156829834,0.12
2021-05-21,0.0,0.4031421767420388,0.5968916416168213,0.17882923781871796,0.12
2021-05-24,1.0,0.60383799067428,0.8474566340446472,0.8328185081481934,0.96
2021-05-25,0.0,0.40510415504537445,0.09184449166059494,0.1548222303390503,0.8
2021-05-26,1.0,0.5913411525442281,0.0,0.08619289100170135,0.9
2021-05-27,0.0,0.3932940199367877,0.43829670548439026,0.3635869324207306,0.18
2021-05-28,0.0,0.6040806816795647,0.9926962852478027,0.8467004895210266,1.0
2021-06-01,0.0,0.37214085018292753,0.8220019340515137,0.4292188286781311,0.28
2021-06-02,1.0,0.5763834461921843,0.648164689540863,0.9437354803085327,0.72
2021-06-03,1.0,0.3792127477969576,0.0,0.12030919641256332,0.78
2021-06-04,0.0,0.3943064086672018,0.533475399017334,0.7762599587440491,0.6
2021-06-07,0.0,0.5965287390741002,0.9986504912376404,0.9779623746871948,0.16
2021-06-08,0.0,0.5800595900762737,0.5458649396896362,0.8397598266601562,0.7
2021-06-09,1.0,0.5795294683425313,0.747931718826294,0.7993274927139282,0.68
2021-06-10,0.0,0.3911353442456949,0.0850008949637413,0.04621468111872673,0.14
2021-06-11,1.0,0.581723519063276,0.33222612738609314,0.8470333814620972,1.0
2021-06-14,1.0,0.4010791296458566,0.7429341077804565,0.7310954928398132,0.78
2021-06-15,1.0,0.4146479852727265,0.806718647480011,0.5072509050369263,0.62
2021-06-16,0.0,0.43334823983530296,0.21961645781993866,0.273621529340744,0.26
2021-06-17,0.0,0.5758791355675172,0.019413072615861893,0.27970921993255615,0.36
2021-06-18,0.0,0.5502700627076791,0.26125699281692505,0.40823638439178467,0.28
2021-06-21,0.0,0.5411101541260774,0.011310488916933537,0.1399054080247879,0.08
2021-06-22,1.0,0.5340019363983511,0.9351439476013184,0.7295182943344116,0.7
2021-06-23,1.0,0.3690649020987909,0.9314164519309998,0.8966480493545532,0.22
2021-06-24,1.0,0.382095055153527,0.1468765139579773,0.16213299334049225,0.52
2021-06-25,0.0,0.40391455185470576,0.2685201168060303,0.4621790647506714,0.02
2021-06-28,1.0,0.5444815527828744,0.8225182890892029,0.9214990735054016,0.22
2021-06-29,1.0,0.37212492782815004,0.0,0.03416832536458969,0.04
2021-06-30,0.0,0.39890921971871707,0.14497868716716766,0.3628925681114197,0.04
2021-07-01,0.0,0.5316927220046003,0.1925688236951828,0.4064047336578369,0.34
2021-07-02,1.0,0.5196084864491304,0.9880285263061523,0.7024075984954834,0.82
2021-07-06,1.0,0.5222328618719332,0.8044608235359192,0.8364154696464539,0.8
2021-07-07,0.0,0.40711397027086377,0.18319812417030334,0.014927572570741177,0.22
2021-07-08,0.0,0.5358372527173364,0.8514982461929321,0.9363388419151306,0.82
2021-07-09,1.0,0.531140842991491,0.740566074848175,0.18113437294960022,0.66
2021-07-12,0.0,0.3690599447113635,0.09425976872444153,0.16627471148967743,0.9
2021-07-13,0.0,0.535058043586136,0.4244477152824402,0.8070701956748962,0.96
2021-07-14,1.0,0.5210940421584218,0.7644557952880859,0.9570271372795105,0.88
2021-07-15,0.0,0.327742776692465,0.4629073441028595,0.016757246106863022,0.1
2021-07-16,0.0,0.5425669087355587,0.5108592510223389,0.23954151570796967,0.8
2021-07-19,0.0,0.5393752816490118,0.8776736855506897,0.7745407819747925,0.8
2021-07-20,0.0,0.5146883942233992,0.0,0.13040652871131897,0.92
2021-07-21,1.0,0.5050995148198286,0.2090374231338501,0.30248209834098816,0.4
2021-07-22,1.0,0.31932141631311967,0.6550360321998596,0.9225195050239563,0.1
2021-07-23,1.0,0.32687815975408324,0.5955930352210999,0.7639650702476501,0.9
2021-07-26,1.0,0.3540413264774562,0.46863996982574463,0.27518993616104126,0.4
2021-07-27,1.0,0.3706351563519666,1.0,0.9699060916900635,0.9
2021-07-28,1.0,0.3995514472685523,0.0,0.037676382809877396,0.84
2021-07-29,1.0,0.4231382845888302,0.2565324008464813,0.1060047596693039,0.96
2021-07-30,1.0,0.4334628287563585,0.9071834683418274,0.3297595679759979,0.94
2021-08-02,0.0,0.4806909341274723,0.22905370593070984,0.08490191400051117,0.3
2021-08-03,0.0,0.5105786555774132,0.0,0.012285744771361351,0.88
2021-08-04,1.0,0.5213925316715828,0.7522971034049988,0.901290774345398,0.72
2021-08-05,1.0,0.4445004291214524,0.27309784293174744,0.9169055819511414,0.04
2021-08-06,1.0,0.4496887361566602,0.6455196142196655,0.3572881817817688,0.02
2021-08-09,1.0,0.4816949643126935,0.704215407371521,0.9406580924987793,0.94
2021-08-10,0.0,0.485848737487756,0.73088538646698,0.4467926025390625,0.84
2021-08-11,1.0,0.5230997927694784,0.36496439576148987,0.46681272983551025,0.72
2021-08-12,0.0,0.513397849298257,0.28626152873039246,0.40627917647361755,0.88
2021-08-13,1.0,0.5522840600409458,0.9660034775733948,0.9893338084220886,0.3
2021-08-16,0.0,0.4723265143030158,0.23334917426109314,0.6272717714309692,0.86
2021-08-17,0.0,0.5509454489298046,0.9292761087417603,0.9067943096160889,0.34
2021-08-18,1.0,0.5043397083460524,0.019708070904016495,0.4124334752559662,0.94
2021-08-19,1.0,0.4937965972496743,0.11425101011991501,0.02614402212202549,0.72
2021-08-20,1.0,0.5001666406386073,0.018286103382706642,0.0277909766882658,0.0
2021-08-23,1.0,0.5264008168032267,0.9871358871459961,0.9322521686553955,0.7
2021-08-24,0.0,0.5280729861555759,0.577200174331665,0.47324138879776,1.0
2021-08-25,1.0,0.5209465579959914,0.7497653365135193,0.9329320788383484,0.24
2021-08-26,0.0,0.5306020157650112,0.14027875661849976,0.910912036895752,0.06
2021-08-27,1.0,0.5333145625998688,0.57853102684021,0.14802299439907074,0.76
2021-08-30,0.0,0.535274778171736,0.181146040558815,0.12478264421224594,0.06
2021-08-31,1.0,0.5288367934260613,0.727152943611145,0.6460689902305603,1.0
2021-09-01,1.0,0.5187439025247852,0.6335095167160034,0.4971218407154083,0.02
2021-09-02,1.0,0.5373676324240084,0.4329434037208557,0.08172095566987991,0.62
2021-09-03,1.0,0.5570640141910844,0.8420360088348389,0.883215069770813,0.9
2021-09-07,0.0,0.5581224279552459,0.3869921863079071,0.5126726627349854,0.08
2021-09-08,0.0,0.5621766306551391,0.9481858015060425,0.8602309226989746,0.36
2021-09-09,1.0,0.5548290464738338,0.4761427938938141,0.04922289401292801,0.64
2021-09-10,0.0,0.5696689137453812,1.0,0.9486941695213318,0.84
2021-09-13,1.0,0.5589903896716074,0.6173397898674011,0.11969871073961258,1.0
2021-09-14,1.0,0.5563019867000856,0.7442181706428528,0.9149065613746643,0.7
2021-09-15,1.0,0.5702083835578675,0.0,0.1016792356967926,0.82
2021-09-16,0.0,0.5873413300435962,0.43954432010650635,0.4535224139690399,0.64
2021-09-17,0.0,0.5991067673707413,1.0,0.6076688170433044,0.8
2021-09-20,0.0,0.5728277910197395,0.3346930146217346,0.7681896686553955,1.0
2021-09-21,0.0,0.5505731328107198,0.6874487996101379,0.11417598277330399,0.98
2021-09-22,1.0,0.5248518717321488,0.7255364060401917,0.03870415315032005,0.86
2021-09-23,1.0,0.5736641765330268,0.5455198884010315,0.9330123066902161,0.96
2021-09-24,0.0,0.5814250287655478,0.675788402557373,0.9345443844795227,1.0
2021-09-27,0.0,0.5368056913853658,0.9551265239715576,0.9538352489471436,0.92
2021-09-28,0.0,0.5377433967701082,0.46529415249824524,0.38008904457092285,0.18
2021-09-29,1.0,0.5379020764365571,0.9441685080528259,0.946365475654602,0.74
2021-09-30,1.0,0.5710065761215668,0.5498026609420776,0.7365857362747192,0.6
2021-10-01,1.0,0.5854255879618538,0.854430079460144,0.9904959201812744,0.28
2021-10-04,1.0,0.5893716986295936,1.0,0.9696754217147827,0.16
2021-10-05,1.0,0.5857520710587641,0.5797336101531982,0.9119280576705933,0.14
2021-10-06,1.0,0.611505540870972,0.7888255715370178,0.8658437132835388,0.0
