Date,gold_dir,logit_pr,xg_gold_r_pr,xg_gold_c_pr,rf_pr
2021-03-31,1.0,0.555028720586282,0.5483857989311218,0.8131358027458191,0.3
2021-04-01,1.0,0.5586261591976355,0.7011407613754272,0.7058123350143433,0.46
2021-04-05,1.0,0.5707369799523194,0.6010867357254028,0.9056200981140137,1.0
2021-04-06,1.0,0.4999255325355733,0.7616033554077148,0.5929669737815857,0.64
2021-04-07,0.0,0.5570795696160047,0.0,0.003369523910805583,0.66
2021-04-08,1.0,0.5367164123320475,0.7576929926872253,0.6191512942314148,0.6
2021-04-09,0.0,0.5675001998085153,0.3447466492652893,0.26342716813087463,1.0
2021-04-12,0.0,0.5496199214589431,0.44568878412246704,0.07583583891391754,0.3
2021-04-13,1.0,0.5581535260013858,0.9733293056488037,0.9387344717979431,0.24
2021-04-14,0.0,0.5696780433764208,0.29982951283454895,0.019167548045516014,0.24
2021-04-15,1.0,0.563320096714249,0.8579838275909424,0.9527184963226318,1.0
2021-04-16,1.0,0.5172641381310029,0.8698409199714661,0.8853186964988708,0.68
2021-04-19,0.0,0.4977403954125082,0.07295237481594086,0.0959484875202179,0.98
2021-04-20,1.0,0.5750249588882169,0.4737388491630554,0.2657749354839325,0.7
2021-04-21,1.0,0.5258026417461079,0.1750747412443161,0.040290430188179016,0.98
2021-04-22,0.0,0.5112320145432835,0.7534610033035278,0.8649703860282898,0.06
2021-04-23,0.0,0.6073146914517491,0.9255048036575317,0.9942708015441895,1.0
2021-04-26,1.0,0.5960747717513879,0.8171670436859131,0.9740893244743347,0.32
2021-04-27,0.0,0.523227237253372,1.0,0.986068844795227,1.0
2021-04-28,0.0,0.6084591707282463,0.007659337483346462,0.018640747293829918,0.3
2021-04-29,0.0,0.6074684921660692,0.5713678002357483,0.31914418935775757,0.78
2021-04-30,0.0,0.5968692722159776,0.30597546696662903,0.08412531018257141,0.94
2021-05-03,1.0,0.5976599513345237,0.37162265181541443,0.16235381364822388,0.74
2021-05-04,0.0,0.5601750449128301,0.9088998436927795,0.9762293696403503,0.72
2021-05-05,1.0,0.5856891720610156,0.633212685585022,0.9766871929168701,0.74
2021-05-06,1.0,0.5197050165502018,0.29143938422203064,0.39746707677841187,0.98
2021-05-07,1.0,0.5001296201492428,0.8259230256080627,0.5097064971923828,0.92
2021-05-10,1.0,0.5030699845358719,0.46285951137542725,0.6741945743560791,0.8
2021-05-11,0.0,0.5288042170099642,0.7036035060882568,0.9950236082077026,0.94
2021-05-12,0.0,0.6051009060373853,0.8463011980056763,0.9409397840499878,0.26
2021-05-13,1.0,0.5743195063873324,0.07731396704912186,0.031178047880530357,0.38
2021-05-14,1.0,0.5045695552149373,0.8381952047348022,0.9827688336372375,0.08
2021-05-17,1.0,0.5251286218244136,0.5930008888244629,0.6090314388275146,0.06
2021-05-18,1.0,0.4743592788918285,0.0,0.18262949585914612,0.14
2021-05-19,1.0,0.5150702176446171,0.8200074434280396,0.89460289478302,0.02
2021-05-20,1.0,0.46456367520992714,0.2886749505996704,0.012381440959870815,0.68
2021-05-21,0.0,0.5353429830523432,0.6750860810279846,0.16706925630569458,0.14
2021-05-24,1.0,0.5850289709990454,0.40223681926727295,0.17467400431632996,0.92
2021-05-25,1.0,0.5615077666124056,0.5976803302764893,0.19483497738838196,0.72
2021-05-26,1.0,0.5572365660571144,0.15421506762504578,0.016749532893300056,0.74
2021-05-27,0.0,0.5171683895570025,0.20066045224666595,0.4678088426589966,0.36
2021-05-28,1.0,0.5931896383717532,0.903029203414917,0.969569742679596,0.92
2021-06-01,0.0,0.5236779868288656,0.23749445378780365,0.11941307783126831,0.72
2021-06-02,1.0,0.598378254454522,0.8092803955078125,0.9519236087799072,0.9
2021-06-03,0.0,0.5115236994568073,0.48603248596191406,0.9444589614868164,0.32
2021-06-04,1.0,0.6049825571934805,0.10140714049339294,0.06984331458806992,0.18
2021-06-07,1.0,0.5031571151150578,0.6397480368614197,0.20022204518318176,0.98
2021-06-08,0.0,0.4999504950444269,0.45739275217056274,0.31317704916000366,0.34
2021-06-09,1.0,0.6016415020768584,0.7976515293121338,0.8208982944488525,1.0
2021-06-10,1.0,0.5548071502992802,0.74753338098526,0.8969325423240662,0.14
2021-06-11,0.0,0.5490237848745492,0.7523165345191956,0.7495144605636597,0.66
2021-06-14,0.0,0.5963484848927785,0.9486954808235168,0.9976999163627625,0.2053333333333333
2021-06-15,0.0,0.6058359930325588,0.13791052997112274,0.044147733598947525,0.14
2021-06-16,1.0,0.6029359691687377,0.9374086856842041,0.9449747800827026,1.0
2021-06-17,0.0,0.4814840061818564,0.5824538469314575,0.5393505096435547,0.4
2021-06-18,0.0,0.6078482831232055,0.8421030640602112,0.9325888752937317,0.46
2021-06-21,1.0,0.5979991635445588,0.0,0.06086757779121399,0.96
2021-06-22,0.0,0.47362717507635055,0.22251464426517487,0.6175692081451416,0.36
2021-06-23,1.0,0.6016263279971633,0.6661093831062317,0.564774215221405,0.96
2021-06-24,0.0,0.5019382918352073,0.09105346351861954,0.030572040006518364,0.78
2021-06-25,1.0,0.5994626072877084,0.9396011233329773,0.9938997030258179,0.9
2021-06-28,1.0,0.48024997442537676,0.6390719413757324,0.6065097451210022,0.82
2021-06-29,0.0,0.518079384375523,0.0,0.00987752340734005,0.06
2021-06-30,1.0,0.5476315135635262,0.8988996148109436,0.9937732815742493,0.02
2021-07-01,1.0,0.5489234070214398,0.37277501821517944,0.6034172177314758,0.8033333333333335
2021-07-02,1.0,0.5385292351778617,0.6363054513931274,0.7346794605255127,0.7
2021-07-06,1.0,0.5466679991042404,0.7224344611167908,0.9171422123908997,0.66
2021-07-07,1.0,0.556040361034068,0.5338605046272278,0.5767356753349304,0.92
2021-07-08,0.0,0.4983106693973937,0.43757057189941406,0.40776070952415466,1.0
2021-07-09,1.0,0.5398371246348699,0.16115422546863556,0.10533950477838516,0.74
2021-07-12,0.0,0.5427470774471495,0.24438181519508362,0.3534166216850281,0.32
2021-07-13,1.0,0.5414530284257052,0.7611792087554932,0.955981969833374,1.0
2021-07-14,1.0,0.48291594147637884,0.2867460548877716,0.27358630299568176,0.68
2021-07-15,1.0,0.5046273016703328,0.6553440690040588,0.5958881974220276,1.0
2021-07-16,0.0,0.49645691305400813,0.602180004119873,0.5392364263534546,0.7
2021-07-19,0.0,0.6070949985412883,1.0,0.9926648736000061,0.88
2021-07-20,1.0,0.6135147665846898,0.1855592131614685,0.191693976521492,0.48
2021-07-21,0.0,0.5456509788007079,0.5326854586601257,0.9117905497550964,0.9
2021-07-22,1.0,0.6125264126538534,0.9703181385993958,0.8909667730331421,0.54
2021-07-23,0.0,0.49654824670008,0.3643296957015991,0.33930039405822754,0.02
2021-07-26,0.0,0.6144069126874425,0.13354173302650452,0.1293998807668686,0.14
2021-07-27,1.0,0.6108060572496165,0.009946922771632671,0.011328393593430519,0.76
2021-07-28,1.0,0.5023194536718721,0.3444245457649231,0.29136428236961365,0.88
2021-07-29,1.0,0.4925318208049863,0.7322669625282288,0.6042578220367432,0.88
2021-07-30,0.0,0.4944008464630024,0.9518091678619385,0.9678381085395813,0.32
2021-08-02,1.0,0.6150359780300552,0.8901222944259644,0.8869702219963074,0.3
2021-08-03,0.0,0.5059934483302182,0.5382505059242249,0.14425121247768402,0.76
2021-08-04,1.0,0.6016560802158312,1.0,0.9835442900657654,0.99
2021-08-05,0.0,0.5032711678897945,0.5654416680335999,0.6719467043876648,1.0
2021-08-06,0.0,0.6089458196196905,0.6416923999786377,0.9605340361595154,0.0
2021-08-09,0.0,0.5981139214859527,1.0,0.8877640962600708,0.86
2021-08-10,1.0,0.6034677538113673,0.42344850301742554,0.20674575865268707,0.96
2021-08-11,1.0,0.5434776765265759,0.5812156796455383,0.22576595842838287,0.22
2021-08-12,0.0,0.497748720326131,0.42429018020629883,0.3011179566383362,0.08
2021-08-13,1.0,0.6007410363451923,0.3062950074672699,0.535571277141571,0.9
2021-08-16,1.0,0.5029039975916099,0.7594407200813293,0.9407740235328674,0.1
2021-08-17,0.0,0.4919055139005399,0.0,0.011216571554541588,0.46
2021-08-18,0.0,0.5440128369298182,1.0,0.9886658191680908,0.96
2021-08-19,0.0,0.5480985669027405,0.2523309588432312,0.29355114698410034,0.14
2021-08-20,1.0,0.6128200605935764,0.8344809412956238,0.8652936816215515,0.56
2021-08-23,1.0,0.49846610105761724,0.746549129486084,0.9366604089736938,0.16
2021-08-24,1.0,0.49846356049199514,0.8456277847290039,0.7793855667114258,0.0
2021-08-25,0.0,0.4889249020932498,0.7764471173286438,0.9249810576438904,0.06
2021-08-26,1.0,0.6016143137179648,0.1859273761510849,0.015209732577204704,1.0
2021-08-27,1.0,0.49167475277964373,0.2824556827545166,0.33061549067497253,0.02
2021-08-30,0.0,0.5083209408947383,0.5581551790237427,0.97050541639328,0.2
2021-08-31,1.0,0.6081272344082808,0.9183411002159119,0.9892888069152832,0.42
2021-09-01,0.0,0.4998955114755066,0.07582981139421463,0.019765688106417656,0.32
2021-09-02,0.0,0.6204269912645923,0.49602487683296204,0.6612597703933716,0.06
2021-09-03,1.0,0.6094808732523559,0.920639157295227,0.7902181148529053,0.98
2021-09-07,0.0,0.607574294654597,0.45692944526672363,0.6853958368301392,1.0
2021-09-08,0.0,0.5928869268732967,0.18005284667015076,0.09327445924282074,0.2
2021-09-09,1.0,0.6110293755550166,0.6032599806785583,0.32395267486572266,0.98
2021-09-10,0.0,0.4999294058486956,0.007967543788254261,0.0494285523891449,0.12
2021-09-13,1.0,0.5946763538314914,0.48669248819351196,0.7356037497520447,0.06
2021-09-14,1.0,0.49878949343751916,0.26761525869369507,0.46109944581985474,0.64
2021-09-15,0.0,0.503244573135614,0.3415274918079376,0.0904160812497139,0.36
2021-09-16,0.0,0.6076305614206128,1.0,0.9966250658035278,0.98
2021-09-17,0.0,0.6000535440853795,0.3544776141643524,0.017350785434246063,1.0
2021-09-20,1.0,0.5959695955288102,0.6159899830818176,0.15377740561962128,0.24
2021-09-21,1.0,0.4901845479368086,0.21394313871860504,0.1502103954553604,0.04
2021-09-22,1.0,0.49393701097561643,0.09671726822853088,0.1816224455833435,0.98
2021-09-23,0.0,0.5050321124177085,0.1354892998933792,0.1467777043581009,0.7
2021-09-24,1.0,0.5890539418510206,1.0,0.9840906262397766,0.82
2021-09-27,1.0,0.49074951196311056,0.8226486444473267,0.8602281808853149,0.98
2021-09-28,0.0,0.4938851833716621,0.5153281092643738,0.4652027189731598,0.0
2021-09-29,0.0,0.5974149174345414,0.8344350457191467,0.2465529441833496,0.74
2021-09-30,1.0,0.605129707801141,0.5898255705833435,0.8728230595588684,0.9816666666666667
2021-10-01,1.0,0.5031245818253435,0.6249397993087769,0.10218305140733719,0.7
2021-10-04,1.0,0.5016338256269337,0.3876402974128723,0.037157002836465836,0.8
2021-10-05,0.0,0.49974721200931976,0.4938931167125702,0.49993062019348145,0.32
2021-10-06,1.0,0.6019089223652027,0.13505764305591583,0.02191052958369255,0.9
